name;open;high;low;close;volume;marketCap;timestamp
"2781";0.2992862194;0.4330521465;0.2943512998;0.3889073086;439949.89;0;"2024-06-19T00:00:00.000Z"
"2781";0.3889073086;0.4250478065;0.3744313862;0.4007300567;356690.06;0;"2024-06-20T00:00:00.000Z"
"2781";0.4007841353;0.4227047898;0.3793979234;0.3843855147;341386.54;0;"2024-06-21T00:00:00.000Z"
"2781";0.3848057448;0.3857199061;0.3071023802;0.3495437097;300003.89;0;"2024-06-22T00:00:00.000Z"
"2781";0.3496821961;0.366432845;0.3430885308;0.3630551316;316326.41;0;"2024-06-23T00:00:00.000Z"
"2781";0.3629049571;0.3639087355;0.275584147;0.2898277154;294386.39;0;"2024-06-24T00:00:00.000Z"
"2781";0.2894061671;0.2935499328;0.2494376131;0.2786075361;308786.43;0;"2024-06-25T00:00:00.000Z"
"2781";0.2788103979;0.279468701;0.2421693184;0.2627793241;297410.38;0;"2024-06-26T00:00:00.000Z"
"2781";0.2639719528;0.2720276172;0.2563435178;0.2658675499;309610.34;0;"2024-06-27T00:00:00.000Z"
"2781";0.2659362519;0.2660122849;0.2420052512;0.2648787999;338486.47;0;"2024-06-28T00:00:00.000Z"
"2781";0.2650094786;0.2682383273;0.2597291726;0.2679932387;302769.24;0;"2024-06-29T00:00:00.000Z"
"2781";0.2682919758;0.2704788802;0.2502535329;0.2564673866;309018.69;0;"2024-06-30T00:00:00.000Z"
"2781";0.2564520331;0.26412095;0.2387632611;0.2580142184;296824.27;0;"2024-07-01T00:00:00.000Z"
"2781";0.2580712562;0.2742794907;0.2442576268;0.2571764958;312556.45;0;"2024-07-02T00:00:00.000Z"
"2781";0.2562867702;0.2673392049;0.2123334247;0.2348076418;308758.33;0;"2024-07-03T00:00:00.000Z"
"2781";0.2343683697;0.2399886883;0.2199082466;0.2326280896;307714.78;0;"2024-07-04T00:00:00.000Z"
"2781";0.23154101;0.2590492842;0.2184172902;0.2487297891;393821.41;0;"2024-07-05T00:00:00.000Z"
"2781";0.248723464;0.2663154174;0.2143666863;0.2459282766;401630.07;0;"2024-07-06T00:00:00.000Z"
"2781";0.2462437776;0.2609329844;0.2078817987;0.2384416426;428984.14;0;"2024-07-07T00:00:00.000Z"
"2781";0.2384892095;0.2589378291;0.2314659131;0.236356336;434082.68;0;"2024-07-08T00:00:00.000Z"
"2781";0.2362967629;0.2556656554;0.1831952558;0.1980190657;361003.06;0;"2024-07-09T00:00:00.000Z"
"2781";0.1979648111;0.2101046873;0.1714514306;0.1785297381;417079.22;0;"2024-07-10T00:00:00.000Z"
"2781";0.1785846329;0.2166050101;0.1762081023;0.1791809623;447622.18;0;"2024-07-11T00:00:00.000Z"
"2781";0.1791857667;0.2238116859;0.1745976672;0.2222494904;435598.17;0;"2024-07-12T00:00:00.000Z"
"2781";0.2221107427;0.222354576;0.1781559236;0.1788807855;445379.55;0;"2024-07-13T00:00:00.000Z"
"2781";0.1789001088;0.2053368286;0.1787295201;0.1919694975;358594.27;0;"2024-07-14T00:00:00.000Z"
"2781";0.1919708925;0.2025899177;0.1884617845;0.192307369;465124.53;0;"2024-07-15T00:00:00.000Z"
"2781";0.192322712;0.2288195743;0.1842824579;0.1863940115;357287.11;0;"2024-07-16T00:00:00.000Z"
"2781";0.1865573739;0.1940894391;0.1793654482;0.1809882913;445390.4;0;"2024-07-17T00:00:00.000Z"
"2781";0.1807691386;0.1842926576;0.1751131137;0.1757349612;459245.23;0;"2024-07-18T00:00:00.000Z"
"2781";0.175651932;0.1787806339;0.1601224588;0.1781114051;415132.34;0;"2024-07-19T00:00:00.000Z"
"2781";0.1781114051;0.1839913479;0.1721995813;0.1749413516;380846.83;0;"2024-07-20T00:00:00.000Z"
"2781";0.1749413516;0.1771182006;0.148963206;0.1627007405;389859.77;0;"2024-07-21T00:00:00.000Z"
"2781";0.1616301511;0.1750505782;0.140404163;0.1462303534;319462.15;0;"2024-07-22T00:00:00.000Z"
"2781";0.1462759557;0.1872807397;0.1448339252;0.1790378035;426690.72;0;"2024-07-23T00:00:00.000Z"
"2781";0.1792828413;0.2175603812;0.1652451837;0.1951751737;412510.68;0;"2024-07-24T00:00:00.000Z"
"2781";0.1951410244;0.2212699399;0.193546402;0.2164228621;345273.68;0;"2024-07-25T00:00:00.000Z"
"2781";0.2167854409;0.2248025015;0.2067536785;0.2239238653;415774.66;0;"2024-07-26T00:00:00.000Z"
